id,year,month,day,hour,season,PM,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,date
0,2010,1,1,0,4,129.0,-21.0,43.0,1021.0,-11.0,1,1.79,0.0,2010-01-01 00:00:00
1,2010,1,1,1,4,129.0,-21.0,47.0,1020.0,-12.0,1,4.92,0.0,2010-01-01 01:00:00
2,2010,1,1,2,4,129.0,-21.0,43.0,1019.0,-11.0,1,6.71,0.0,2010-01-01 02:00:00
3,2010,1,1,3,4,129.0,-21.0,55.0,1019.0,-14.0,1,9.84,0.0,2010-01-01 03:00:00
4,2010,1,1,4,4,129.0,-20.0,51.0,1018.0,-12.0,1,12.97,0.0,2010-01-01 04:00:00
5,2010,1,1,5,4,129.0,-19.0,47.0,1017.0,-10.0,1,16.1,0.0,2010-01-01 05:00:00
6,2010,1,1,6,4,129.0,-19.0,44.0,1017.0,-9.0,1,19.23,0.0,2010-01-01 06:00:00
7,2010,1,1,7,4,129.0,-19.0,44.0,1017.0,-9.0,1,21.02,0.0,2010-01-01 07:00:00
8,2010,1,1,8,4,129.0,-19.0,44.0,1017.0,-9.0,1,24.15,0.0,2010-01-01 08:00:00
9,2010,1,1,9,4,129.0,-20.0,37.0,1017.0,-8.0,1,27.28,0.0,2010-01-01 09:00:00
10,2010,1,1,10,4,129.0,-19.0,37.0,1017.0,-7.0,1,31.3,0.0,2010-01-01 10:00:00
11,2010,1,1,11,4,129.0,-18.0,35.0,1017.0,-5.0,1,34.43,0.0,2010-01-01 11:00:00
12,2010,1,1,12,4,129.0,-19.0,32.0,1015.0,-5.0,1,37.56,0.0,2010-01-01 12:00:00
13,2010,1,1,13,4,129.0,-18.0,30.0,1015.0,-3.0,1,40.69,0.0,2010-01-01 13:00:00
14,2010,1,1,14,4,129.0,-18.0,28.0,1014.0,-2.0,1,43.82,0.0,2010-01-01 14:00:00
15,2010,1,1,15,4,129.0,-18.0,26.0,1014.0,-1.0,0,0.89,0.0,2010-01-01 15:00:00
16,2010,1,1,16,4,129.0,-19.0,25.0,1015.0,-2.0,1,1.79,0.0,2010-01-01 16:00:00
17,2010,1,1,17,4,129.0,-18.0,30.0,1015.0,-3.0,1,2.68,0.0,2010-01-01 17:00:00
18,2010,1,1,18,4,129.0,-18.0,35.0,1016.0,-5.0,2,1.79,0.0,2010-01-01 18:00:00
19,2010,1,1,19,4,129.0,-17.0,35.0,1017.0,-4.0,1,1.79,0.0,2010-01-01 19:00:00
20,2010,1,1,20,4,129.0,-17.0,38.0,1017.0,-5.0,0,0.89,0.0,2010-01-01 20:00:00
21,2010,1,1,21,4,129.0,-17.0,38.0,1018.0,-5.0,1,1.79,0.0,2010-01-01 21:00:00
22,2010,1,1,22,4,129.0,-17.0,38.0,1018.0,-5.0,1,2.68,0.0,2010-01-01 22:00:00
23,2010,1,1,23,4,129.0,-17.0,41.0,1020.0,-5.0,0,0.89,0.0,2010-01-01 23:00:00
24,2010,1,2,0,4,148.0,-16.0,38.0,1020.0,-4.0,3,1.79,0.0,2010-01-02 00:00:00
25,2010,1,2,1,4,159.0,-15.0,42.0,1020.0,-4.0,3,2.68,0.0,2010-01-02 01:00:00
26,2010,1,2,2,4,181.0,-11.0,63.5,1021.0,-5.0,3,3.57,0.0,2010-01-02 02:00:00
27,2010,1,2,3,4,138.0,-7.0,85.0,1022.0,-5.0,3,5.36,0.0,2010-01-02 03:00:00
28,2010,1,2,4,4,109.0,-7.0,85.0,1022.0,-5.0,3,6.25,0.0,2010-01-02 04:00:00
29,2010,1,2,5,4,105.0,-7.0,92.0,1022.0,-6.0,3,7.14,0.0,2010-01-02 05:00:00
30,2010,1,2,6,4,124.0,-7.0,92.0,1023.0,-6.0,3,8.93,0.0,2010-01-02 06:00:00
31,2010,1,2,7,4,120.0,-7.0,85.0,1024.0,-5.0,3,10.72,0.0,2010-01-02 07:00:00
32,2010,1,2,8,4,132.0,-8.0,85.0,1024.0,-6.0,3,12.51,0.0,2010-01-02 08:00:00
33,2010,1,2,9,4,140.0,-7.0,85.0,1025.0,-5.0,3,14.3,0.0,2010-01-02 09:00:00
